label,message
ham,Go until jurong point crazy
ham,Ok lar Joking wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts
ham,U dun say so early hor
ham,Nah I don't think he goes to usf
spam,FreeMsg Hey there darling its been 3 week's now
ham,Even my brother is not like to speak with me
ham,As per your request Melle Melle has been set
spam,WINNER!! As a valued network customer you have been selected
spam,Had your mobile 11 months or more
ham,Im gonna be home soon
spam,URGENT! Your mobile number has won a prize
ham,I love you
spam,Your account has been compromised
spam,Bank account verification required
spam,Your PayPal account is limited
spam,Congratulations Youve won a 1000 gift card
spam,URGENT Your account has been locked
spam,Verify your details immediately
spam,Your bank account has been locked
spam,Chase Bank Unusual activity detected
spam,Wells Fargo Your account will be suspended
spam,Bank of America Security alert
spam,Your credit card has been frozen
spam,Unusual transaction detected on your debit card
spam,Your account has been compromised Secure it now
spam,Your Amazon account has been suspended
spam,Netflix Your account is on hold
spam,Apple ID locked Verify your information
spam,Google account verification required
spam,Instagram Unusual login attempt
spam,Facebook Someone tried to access your account
spam,Microsoft account Security alert
spam,Your email will be closed Verify now
spam,You are the lucky winner of our lottery
spam,Claim your free iPhone now
spam,You have won a brand new car
spam,Congratulations Youve been selected
spam,FREE MONEY Earn 5000 per week
spam,Make 1000 daily working from home
spam,Get rich quick scheme
spam,Investment opportunity with 500 percent returns
spam,Crypto giveaway Send ETH to receive double
spam,Your computer has been infected Call now
spam,IRS You owe back taxes Pay immediately
spam,Legal action will be taken against you
spam,You have been sued Click here
spam,Your warranty is expiring Renew now
spam,Work from home job Earn 10000 monthly
spam,Remote position No experience needed
spam,Get paid to watch videos
spam,Data entry job Earn 5000 per week
spam,Your invoice is attached Payment due
spam,Subscription renewed Click to cancel
spam,Your order has been shipped Track here
spam,Delivery failed Reschedule now
spam,Your phone bill is due Pay now
spam,Your internet will be disconnected
spam,You have unpaid tolls
spam,Your package cannot be delivered
spam,Your taxes are overdue
spam,Your social security number has been suspended
spam,Your drivers license will be revoked
spam,Your passport has expired
spam,Your visa application is approved
spam,Your loan has been approved
spam,Your credit score has changed
spam,Your mortgage payment is late
spam,Your rent is overdue
spam,Your electricity will be shut off
spam,Your water bill is unpaid
spam,Your gas bill is due
spam,Your garbage collection fee is pending
spam,Your property tax is overdue
spam,Your student loan payment is late
spam,Your car insurance has expired
spam,Your health insurance claim is denied
spam,Your life insurance policy is lapsed
spam,Your home insurance claim is approved
spam,Your travel insurance is active
spam,Your flight is cancelled
spam,Your hotel reservation is confirmed
spam,Your rental car is ready
spam,Your cruise ticket is booked
spam,Your concert ticket is confirmed
spam,Your movie ticket is purchased
spam,Your sports event ticket is ready
spam,Your gift card is activated
spam,Your loyalty points are expiring
spam,Your cashback reward is ready
spam,Your discount code is available
spam,Your coupon is about to expire
spam,Your promo code is active
spam,Your referral bonus is credited
spam,Your signup bonus is pending
spam,Your welcome gift is waiting
spam,Your birthday reward is here
spam,Your anniversary discount is applied
ham,Hi John can you review the attached document
ham,Hey are we still meeting for lunch at 1pm
ham,Thanks for your email I will get back to you shortly
ham,Please find the quarterly report attached
ham,Let me know if you have any questions
ham,Can you send me the file by tomorrow
ham,I will be late for the meeting
ham,Please call me when you get this
ham,The project deadline has been extended
ham,Great job on the presentation
ham,See you at the conference
ham,Can you share the meeting notes
ham,I have updated the document
ham,Please review my pull request
ham,The build is failing fix it
ham,Can you deploy the latest version
ham,The server is down please check
ham,I have pushed the changes to git
ham,Can you merge my branch
ham,The test cases are passing now
ham,We need to discuss the architecture
ham,Can you schedule a call with the client
ham,The budget has been approved
ham,The timeline has been adjusted
ham,We have a new requirement
ham,Can you estimate this task
ham,The sprint planning is tomorrow
ham,Can you join the daily standup
ham,The retrospective is at 3pm
ham,Can you update the Jira tickets
ham,The release is scheduled for Friday
ham,Can you prepare the deployment checklist
ham,The documentation needs to be updated
ham,Can you write unit tests for this
ham,The code coverage is low
ham,Can you refactor this function
ham,The API response has changed
ham,Can you update the swagger docs
ham,The database migration is ready
ham,Can you review the schema changes
ham,The cache needs to be cleared
ham,Can you restart the service
ham,The logs show an error
ham,Can you investigate the issue
ham,The user reported a bug
ham,Can you reproduce it locally
ham,The fix is deployed to staging
ham,Can you test it on production
ham,The feature is ready for QA
ham,Can you approve the pull request
